,,,,,,
કઈ સંસ્થાએ ચેટજીપીટી સહિત એઆઈ મોડલ્સને તાલીમ આપવા માટે કોપીરાઈટ કરેલી કન્ટેન્ટના અનધિકૃત ઉપયોગનો આરોપ મૂકીને ઓપનએઆઈ અને માઈક્રોસોફ્ટ સામે કાનૂની કાર્યવાહી શરૂ કરી છે?,ધ ઇન્ડિયન એક્સપ્રેસ,ધ ન્યુ યોર્ક ટાઇમ્સ,ધ વોશિંગ્ટન પોસ્ટ,ધ એસોસિયેટેડ પ્રેસ,2,"ધ ન્યૂયોર્ક ટાઇમ્સ (એનવાયટી)એ ઓપનએઆઈ અને માઇક્રોસોફ્ટ સામે કાનૂની કાર્યવાહી કરી છે, જેમાં તેમના પર એઆઇ મોડેલ તાલીમ, ખાસ કરીને ચેટજીપીટી માટે તેની કોપીરાઇટ કરેલી સામગ્રીના અનધિકૃત ઉપયોગનો આરોપ મૂકવામાં આવ્યો છે. આ કાનૂની વિવાદ જનરેટિવ એઆઈ યુગમાં બૌદ્ધિક સંપત્તિ અધિકારો પરની વ્યાપક ચર્ચાને પ્રકાશિત કરે છે."
છેલ્લાં ચાર વર્ષમાં મૂડીગત ખર્ચ/રોકાણ માટે રાજ્યોને વિશેષ સહાય માટેની યોજના હેઠળ ભારતના કયા રાજ્યને સૌથી વધુ વિશેષ સહાય મળી છે?,મહારાષ્ટ્ર,ઉત્તર પ્રદેશ,કર્ણાટક,તમિલનાડુ,2,"છેલ્લાં ચાર વર્ષમાં મૂડીખર્ચ/રોકાણ માટે રાજ્યોને વિશેષ સહાય માટેની યોજના હેઠળ કેન્દ્ર દ્વારા ફાળવવામાં આવેલી રૂ.૧,૬૭,૫૧૮.૬ કરોડની વિશેષ સહાય (લોન) માંથી રૂ.૨૨,૮૫૭.૯ કરોડ (કુલ ફાળવણીના ૧૪ ટકા) મેળવીને ઉત્તર પ્રદેશ ટોચના પ્રાપ્તકર્તા તરીકે ઊભરી આવ્યું છે."
રાસાયણિક ટેન્કર એમવી ચેમ પ્લુટો પર થયેલા ડ્રોન હુમલા માટે કથિત રીતે જવાબદાર એવા હુથી બળવાખોરો ક્યાં સ્થિત હોવાનું મનાય છે?,લિબેરિઆ,જાપાન,સાઉદી અરેબિયા,યમન,4,એમવી ચેમ પ્લુટો પર ડ્રોન હુમલામાં શંકાસ્પદ હુથી બળવાખોરો યમનમાં સ્થિત હોવાનું માનવામાં આવે છે અને તેઓ યમનની સરકાર સાથે એક દાયકા લાંબા નાગરિક સંઘર્ષમાં રોકાયેલા છે.
સુકન્યા સમૃદ્ધિ ખાતા યોજના (એસએસએએસ) માટે તાજેતરના સરકારના નિર્ણય મુજબ સુધારેલ વ્યાજ દર શું છે?,7.10%,8.20%,8%,7%,2,"સરકારના તાજેતરના નિર્ણયમાં સુકન્યા સમૃદ્ધિ એકાઉન્ટ સ્કીમ (એસએસએએસ) માટેના વ્યાજ દરને વધારીને 8.2 ટકા કરવામાં આવ્યો છે, જે અગાઉના 8 ટકાના દરથી સમાયોજન દર્શાવે છે."
"લેફ્ટનન્ટ ગવર્નર શ્રી મનોજ સિંહાએ કૌશલ્ય વિકાસ, પુનર્વસન અને દિવ્યાંગ વ્યક્તિઓના સશક્તિકરણ માટેના સંયુક્ત પ્રાદેશિક કેન્દ્ર (સીઆરસી)નું ઉદઘાટન ક્યાં કર્યું હતું?",જમ્મુ,ગુજરાત,ઉત્તર પ્રદેશ,દિલ્હી,1,"ઉપરાજ્યપાલ શ્રી મનોજ સિંહાએ સાંબા-જમ્મુમાં કમ્પોઝિટ રિજનલ સેન્ટર (સીઆરસી)નું ઉદઘાટન કર્યું હતું, જે આ વિસ્તારમાં વિકલાંગતા ધરાવતી વ્યક્તિઓ (દિવ્યાંગજન)નાં કૌશલ્ય વિકાસ, પુનર્વસન અને સશક્તિકરણની દિશામાં મહત્ત્વપૂર્ણ પગલું છે."
"યુનેસ્કોનો અમૂર્ત સાંસ્કૃતિક વારસો, ધાર્મિક થિયેટર મુડિયેટ્ટુની ઉત્પત્તિ ક્યાંથી થાય છે?",તમિલનાડુ,કર્ણાટક,કેરળ,આંધ્ર પ્રદેશ,3,"મુદિયેટ્ટુ, એક નોંધપાત્ર સાંસ્કૃતિક પરંપરા છે, જે કેરળ રાજ્યની છે અને દેવી કાલી અને રાક્ષસ દરિકા વચ્ચેની પૌરાણિક લડાઇને રજૂ કરે છે. તે માનવતાના અમૂર્ત સાંસ્કૃતિક વારસા તરીકે યુનેસ્કોની માન્યતા ધરાવે છે."
કયા રમતવીરને વુશુમાં તેમની સિદ્ધિઓ બદલ રમતગમત અને રમતો 2023 માં ઉત્કૃષ્ટ પ્રદર્શન માટે અર્જુન એવોર્ડ મળ્યો હતો?,દીપિકા કુમારી,નૌરેમ રોશીબીના દેવી,દુતી ચંદ,સવિતા પુનિયા,2,"સ્પોર્ટ્સ એન્ડ ગેમ્સ 2023માં ઉત્કૃષ્ટ પ્રદર્શન માટે અર્જુન એવોર્ડ નૌરેમ રોશિબીના દેવીને તેમના અપવાદરૂપ પ્રદર્શન અને પાછલા ચાર વર્ષોમાં વુશુની રમતમાં યોગદાનના સન્માનમાં એનાયત કરવામાં આવ્યો હતો. આ પુરસ્કાર તેણીની નોંધપાત્ર એથ્લેટિક ક્ષમતાઓ, ખેલદિલી, શિસ્ત અને તેના શિસ્તમાં નેતૃત્વના ગુણોને પ્રકાશિત કરે છે."
કયા દેશે લોંગ માર્ચ-11ના કેરિયર રોકેટનું સફળ પ્રક્ષેપણ કર્યું?,ચીન,રશિયા,યુનાઈટેડ સ્ટેટ્સ,જાપાન,1,ચીને ગુઆંગડોંગ પ્રાંતના યાંગજિયાંગના પાણીમાંથી લોંગ માર્ચ-11 કેરિયર રોકેટનું સફળતાપૂર્વક પ્રક્ષેપણ કર્યું હતું અને અંતરિક્ષ વિજ્ઞાન અને તકનીકી પ્રયોગો માટે ત્રણ ઉપગ્રહોને આયોજિત ભ્રમણકક્ષામાં સ્થાપિત કર્યા હતા.
સામાજિક ન્યાય અને અધિકારીતા મંત્રાલય દ્વારા અનુસૂચિત જાતિના વિદ્યાર્થીઓને નિવાસી શિક્ષણ દ્વારા સશક્ત બનાવવા માટે શરૂ કરવામાં આવેલી યોજનાનું નામ શું છે?,વિશેશ,સમૃદ્ધિ,SHRESHTA,ઉજ્જવલ,3,"સામાજિક ન્યાય અને અધિકારીતા મંત્રાલયે અનુસૂચિત જનજાતિના પ્રભુત્વ ધરાવતા વિસ્તારોમાં શૈક્ષણિક સેવાના અંતરને લક્ષ્યમાં રાખીને એસએચરેસ્ટા (લક્ષિત વિસ્તારોમાં હાઈસ્કૂલોમાં વિદ્યાર્થીઓ માટે નિવાસી શિક્ષણ માટેની યોજના) યોજના શરૂ કરી હતી. 142 ખાનગી શાળાઓમાં અનુસૂચિત જાતિના 2,564 વિદ્યાર્થીઓને ટેકો આપતી આ યોજના ઉચ્ચ ગુણવત્તાયુક્ત શિક્ષણ, સામાજિક-આર્થિક ઉત્થાન અને એકંદર વિકાસ પર ભાર મૂકે છે. ધોરણ 8 અને 10માં અનુસૂચિત જાતિ સમુદાયોના લાયક વિદ્યાર્થીઓ, જેમની વાર્ષિક આવક 2.5 લાખ રૂપિયા સુધીની છે, તેઓ લાભ લઈ શકે છે."
માર્ચ ૨૦૨૪ સુધીમાં કેન્દ્ર સરકારના પેન્શનરો પાસેથી ડિજિટલ લાઇફ સર્ટિફિકેટ એકત્રિત કરવા માટે સરકારે શું લક્ષ્યાંક નક્કી કર્યું છે?,10 લાખ,25 લાખ,40 લાખ,50 લાખ,4,"માર્ચ ૨૦૨૪ સુધીમાં કેન્દ્ર સરકારના પેન્શનરો પાસેથી ૫૦ લાખ ડિજિટલ લાઇફ સર્ટિફિકેટ એકત્રિત કરવાનું સરકારનું લક્ષ્ય છે. આ ધ્યેય ડીએલસી અભિયાન 2.0નો એક ભાગ છે, જેમાં 80 વર્ષથી વધુ ઉંમરના સુપર સિનિયર પેન્શનર્સ પર ધ્યાન કેન્દ્રિત કરવામાં આવ્યું છે અને રજૂઆતો સુનિશ્ચિત કરવા માટે સંતૃપ્તિ-આધારિત અભિગમ છે."
